"disciplina","programa","Creation Date","Modified Date","Slug","Creator"
"TCC1","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Teoria Política e Radiografia do Estado Brasileiro","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"TCC2","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Teorias de Políticas Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Terceiro Setor em Perspectiva Comparada","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Auditoria e Assurance","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business Analytics","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Administração Financeira","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Aprofundando os Relatórios Financeiros","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Comunicação Corporativa","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Avaliação de Empresas e M&A","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade Financeira II","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade Financeira I","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade Tributária","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Desafio Digital em Finanças e Controladoria I","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
